Date : 2022-11-07 18:00:12
Directory : /Users/Nils 1/Desktop/Contredanse/life-art
Total : 209 files,  23306 codes, 951 comments, 1443 blanks, all 25700 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/repository/credits.repo.ts              | TypeScript         |         25 |          0 |          3 |         28 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/repository/media-categ.repo.ts          | TypeScript         |         16 |          0 |          3 |         19 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/repository/media.repo.ts                | TypeScript         |         85 |          0 |          4 |         89 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/repository/tag-label.repo.ts            | TypeScript         |         14 |          0 |          3 |         17 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/repository/tag.repo.ts                  | TypeScript         |         59 |          0 |          4 |         63 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/types.ts                                | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/utils/typeguards.ts                     | TypeScript         |         12 |          0 |          3 |         15 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/features/video/video.config.ts                         | TypeScript         |          7 |          1 |          3 |         11 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/404.tsx                                          | TypeScript React   |         24 |          1 |          6 |         31 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/_app.tsx                                         | TypeScript React   |         17 |         16 |          6 |         39 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/_document.tsx                                    | TypeScript React   |         25 |          5 |          3 |         33 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/_error.tsx                                       | TypeScript React   |         62 |         33 |         17 |        112 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/about/index.tsx                                  | TypeScript React   |         31 |          1 |          4 |         36 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/api/auth/login.ts                                | TypeScript         |        109 |          2 |          7 |        118 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/api/hello.js                                     | JavaScript         |          3 |          0 |          1 |          4 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/api/users.ts                                     | TypeScript         |         62 |         43 |          9 |        114 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/api/users/[userEmail].ts                         | TypeScript         |         17 |          0 |          4 |         21 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/auth/signin.tsx                                  | TypeScript React   |         31 |          1 |          5 |         37 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/bio/index.tsx                                    | TypeScript React   |         31 |          1 |          4 |         36 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/credits.tsx                                      | TypeScript React   |         31 |          1 |          5 |         37 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/editor/index.tsx                                 | TypeScript React   |         31 |          1 |          4 |         36 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/home.tsx                                         | TypeScript React   |         31 |          1 |          4 |         36 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/index.tsx                                        | TypeScript React   |          1 |          1 |          2 |          4 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/menu/index.tsx                                   | TypeScript React   |         31 |          1 |          4 |         36 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/tag-index/index.tsx                              | TypeScript React   |         31 |          1 |          5 |         37 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/tags/[tagSlugs].tsx                              | TypeScript React   |         39 |          1 |          7 |         47 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/video/all.tsx                                    | TypeScript React   |         31 |          1 |          5 |         37 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/video/category/[slug].tsx                        | TypeScript React   |         52 |          1 |          4 |         57 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/video/favorites.tsx                              | TypeScript React   |         33 |          1 |          5 |         39 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/video/unwatched.tsx                              | TypeScript React   |         33 |          1 |          5 |         39 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/pages/video/watched.tsx                                | TypeScript React   |         33 |          1 |          5 |         39 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/types.d/index.d.ts                                     | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/types.d/react-i18next.d.ts                             | TypeScript         |         14 |          6 |          2 |         22 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/src/types.d/react-svgr.d.ts                                | TypeScript         |          5 |         18 |          2 |         25 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/tailwind.config.js                                         | JavaScript         |         33 |          5 |          2 |         40 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/tsconfig.jest.json                                         | JSON               |         17 |          0 |          1 |         18 |
| /Users/Nils 1/Desktop/Contredanse/life-art/apps/halprin-web-app/tsconfig.json                                              | JSON with Comments |         19 |         12 |          1 |         32 |
| /Users/Nils 1/Desktop/Contredanse/life-art/commitlint.config.js                                                            | JavaScript         |         40 |          0 |          1 |         41 |
| /Users/Nils 1/Desktop/Contredanse/life-art/docker-compose.override.sample.yml                                              | YAML               |          7 |          1 |          1 |          9 |
| /Users/Nils 1/Desktop/Contredanse/life-art/docker-compose.yml                                                              | YAML               |         63 |          8 |          7 |         78 |
| /Users/Nils 1/Desktop/Contredanse/life-art/docs/deploy/deploy-vercel.md                                                    | Markdown           |         11 |          0 |          7 |         18 |
| /Users/Nils 1/Desktop/Contredanse/life-art/docs/docker/docker.md                                                           | Markdown           |         24 |          0 |         12 |         36 |
| /Users/Nils 1/Desktop/Contredanse/life-art/docs/dx-atlassian-changeset.md                                                  | Markdown           |          6 |          0 |          7 |         13 |
| /Users/Nils 1/Desktop/Contredanse/life-art/lint-staged.config.base.js                                                      | JavaScript         |         14 |         14 |          4 |         32 |
| /Users/Nils 1/Desktop/Contredanse/life-art/package.json                                                                    | JSON               |         44 |         32 |          1 |         77 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/.eslintrc.json                                                  | JSON               |         12 |          0 |          1 |         13 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/README.md                                                       | Markdown           |          3 |          0 |          3 |          6 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/jest.config.js                                                  | JavaScript         |         32 |         17 |          4 |         53 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/lint-staged.config.js                                           | JavaScript         |          2 |          0 |          1 |          3 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/package.json                                                    | JSON               |         78 |          0 |          1 |         79 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/src/api/json-api/__tests__/json-api-response.factory.test.ts    | TypeScript         |         64 |          0 |          4 |         68 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/src/api/json-api/__tests__/json-api-typeguard.test.ts           | TypeScript         |         59 |          0 |          7 |         66 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/src/api/json-api/index.ts                                       | TypeScript         |         13 |          0 |          1 |         14 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/src/api/json-api/json-api-error.factory.ts                      | TypeScript         |         31 |          1 |          3 |         35 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/src/api/json-api/json-api-response.factory.ts                   | TypeScript         |         35 |          1 |          2 |         38 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/src/api/json-api/json-api-response.types.ts                     | TypeScript         |         25 |         10 |          5 |         40 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/src/api/json-api/json-api.typeguard.ts                          | TypeScript         |         28 |          0 |          4 |         32 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/src/component/info-card.tsx                                     | TypeScript React   |         19 |          0 |          2 |         21 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/src/hooks/__tests__/use-deep-compare-memoize.test.ts            | TypeScript         |         12 |          0 |          2 |         14 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/src/hooks/__tests__/use-promise.test.tsx                        | TypeScript React   |        133 |         13 |         27 |        173 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/src/hooks/index.ts                                              | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/src/hooks/use-deep-compare-memoize.ts                           | TypeScript         |         15 |          0 |          3 |         18 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/src/hooks/use-promise.ts                                        | TypeScript         |         72 |          5 |         13 |         90 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/src/index.ts                                                    | TypeScript         |          5 |          0 |          2 |          7 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/src/utils/__tests__/array-utils.test.ts                         | TypeScript         |         31 |          0 |          2 |         33 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/src/utils/__tests__/asserts.test.ts                             | TypeScript         |         18 |          0 |          2 |         20 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/src/utils/__tests__/string-convert.test.ts                      | TypeScript         |         30 |          0 |          3 |         33 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/src/utils/__tests__/typeguards.test.ts                          | TypeScript         |         59 |          0 |          3 |         62 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/src/utils/array-utils.ts                                        | TypeScript         |         13 |          0 |          3 |         16 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/src/utils/asserts.ts                                            | TypeScript         |         51 |          1 |          6 |         58 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/src/utils/random-utils.ts                                       | TypeScript         |          7 |          7 |          1 |         15 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/src/utils/string-convert.ts                                     | TypeScript         |         22 |          0 |          3 |         25 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/src/utils/type-utils.ts                                         | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/src/utils/typeguards.ts                                         | TypeScript         |         35 |          0 |          6 |         41 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/tsconfig.build.json                                             | JSON               |          7 |          2 |          0 |          9 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/tsconfig.jest.json                                              | JSON               |         16 |          0 |          1 |         17 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/common/tsconfig.json                                                   | JSON with Comments |         15 |          0 |          1 |         16 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/db-main/.env                                                           | Properties         |          1 |          7 |          4 |         12 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/db-main/.eslintrc.json                                                 | JSON               |          8 |          0 |          1 |          9 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/db-main/README.md                                                      | Markdown           |         47 |          0 |         25 |         72 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/db-main/lint-staged.config.js                                          | JavaScript         |          2 |          0 |          1 |          3 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/db-main/package.json                                                   | JSON               |         63 |          0 |          1 |         64 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/db-main/prisma/seed.ts                                                 | TypeScript         |         55 |          2 |          5 |         62 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/db-main/prisma/seeds/poem/poems.seed.ts                                | TypeScript         |        298 |          1 |          5 |        304 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/db-main/src/index.ts                                                   | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/db-main/src/prisma-manager.ts                                          | TypeScript         |         32 |         15 |          4 |         51 |
| /Users/Nils 1/Desktop/Contredanse/life-art/packages/db-main/tsconfig.json                                                  | JSON with Comments |         13 |         16 |          1 |         30 |
| /Users/Nils 1/Desktop/Contredanse/life-art/static/locales/en/common.json                                                   | JSON               |         10 |          0 |          1 |         11 |
| /Users/Nils 1/Desktop/Contredanse/life-art/tsconfig.base.json                                                              | JSON               |         17 |          0 |          0 |         17 |
| Total                                                                                                                      |                    |     23,306 |        951 |      1,443 |     25,700 |
+----------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
